date,cases,pct_pop,never,rarely,sometimes,frequently,always,order_code,daily_cases,rolling_avg_7,rolling_avg_14,pct_chg_7D_avg,pct_chg_14D_avg,pct_chg_daily
2021-02-20,62336,0.05869342721369111,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,102.0,116.85714285714286,150.07142857142858,-0.09513274336283184,-0.04238833181403823,-0.31543624161073824
2021-02-21,62436,0.05878758376402109,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,100.0,113.28571428571429,139.78571428571428,-0.030562347188264005,-0.06853879105188021,-0.019607843137254943
2021-02-22,62523,0.058869499962808165,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,87.0,111.28571428571429,135.0,-0.017654476670870167,-0.034236075625958096,-0.13
2021-02-23,62626,0.058966481209648036,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,103.0,113.0,127.92857142857143,0.015404364569961526,-0.05238095238095242,0.1839080459770115
2021-02-24,62767,0.05909924194561329,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,141.0,117.85714285714286,126.14285714285714,0.04298356510745904,-0.013958682300390879,0.3689320388349515
2021-02-25,62896,0.059220703895538955,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,129.0,115.85714285714286,124.0,-0.016969696969696968,-0.016987542468856143,-0.08510638297872342
2021-02-26,63039,0.059355347762510814,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,143.0,115.0,122.07142857142857,-0.007398273736128225,-0.015552995391705071,0.10852713178294571
2021-02-27,63166,0.05947492658142988,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,127.0,118.57142857142857,117.71428571428571,0.03105590062111796,-0.03569338794616739,-0.11188811188811187
2021-02-28,63276,0.05957849878679285,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,110.0,120.0,116.64285714285714,0.012048192771084265,-0.00910194174757284,-0.13385826771653542
2021-03-01,63395,0.05969054508168552,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,119.0,124.57142857142857,117.92857142857143,0.03809523809523818,0.01102265768524191,0.08181818181818179
2021-03-02,63499,0.05978846789402868,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,104.0,124.71428571428571,118.85714285714286,0.0011467889908256534,0.007874015748031482,-0.12605042016806722
2021-03-03,63595,0.05987885818234546,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,96.0,118.28571428571429,118.07142857142857,-0.05154639175257725,-0.006610576923076983,-0.07692307692307687
2021-03-04,63702,0.05997960569119853,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,107.0,115.14285714285714,115.5,-0.026570048309178862,-0.02177858439201452,0.11458333333333326
2021-03-05,63796,0.0600681128485087,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,94.0,108.14285714285714,111.57142857142857,-0.06079404466501237,-0.03401360544217691,-0.12149532710280375
2021-03-06,63898,0.06016415252984527,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,102.0,104.57142857142857,111.57142857142857,-0.03302509907529716,0.0,0.0851063829787233
2021-03-07,63987,0.060247951859638944,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,89.0,101.57142857142857,110.78571428571429,-0.02868852459016391,-0.00704225352112664,-0.12745098039215685
2021-03-08,64081,0.06033645901694912,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,94.0,98.0,111.28571428571429,-0.035161744022503494,0.004513217279174642,0.05617977528089879
2021-03-09,64166,0.060416492084729594,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,85.0,95.28571428571429,110.0,-0.027696793002915387,-0.011553273427471145,-0.0957446808510638
2021-03-10,64273,0.06051723959358267,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,107.0,96.85714285714286,107.57142857142857,0.016491754122938573,-0.02207792207792214,0.2588235294117647
2021-03-11,64399,0.06063587684699843,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,126.0,99.57142857142857,107.35714285714286,0.028023598820059004,-0.0019920318725099584,0.17757009345794383
