date,cases,Rail,Adjusted_Bus,rolling_avg_14,ravg_rail,ravg_bus,log_ravg_pct,all_modes,all_pct,ravg_all,ravg_all_pct,cases_pct,rail_pct,bus_pct,ravg_cases_pct,ravg_rail_pct,ravg_bus_pct
2021-03-09,64166,90000,172000,110.0,80571.42857142857,153714.2857142857,0.00013492763053735146,262000,0.10084033613445387,223714.2857142857,0.014248704663212486,0.0013264462165072377,0.0843373493975903,0.10967741935483866,-0.011553273427471034,0.0053475935828875,0.011278195488721776
2021-03-10,64273,94000,174000,107.57142857142857,80285.71428571429,152142.85714285713,0.00013691664700576922,268000,0.022900763358778553,223714.2857142857,0.0,0.0016675497927252092,0.04444444444444451,0.011627906976744207,-0.02207792207792214,-0.0035460992907799804,-0.010223048327137607
2021-03-11,64399,95000,174000,107.35714285714286,80571.42857142857,152285.7142857143,0.0001404783667162679,269000,0.003731343283582156,226000.0,0.010217113665389466,0.001960387721127166,0.010638297872340496,0.0,-0.0019920318725099584,0.003558718861209842,0.0009389671361503815
2021-03-12,64514,95000,180000,105.35714285714286,79285.71428571429,149142.85714285713,0.00014445493162718037,275000,0.02230483271375472,228714.2857142857,0.012010113780025256,0.001785742014627667,0.0,0.034482758620689724,-0.018629407850964785,-0.015957446808510523,-0.020637898686679312
2021-03-13,64647,61000,120000,105.78571428571428,79285.71428571429,148571.42857142858,0.00015039476288158937,181000,-0.3418181818181818,230857.14285714287,0.00936914428482205,0.0020615680317450646,-0.35789473684210527,-0.33333333333333337,0.004067796610169427,0.0,-0.003831417624520883
2021-03-14,64773,43000,89000,106.92857142857143,79714.28571428571,149285.7142857143,0.0001575370943820431,132000,-0.27071823204419887,232142.85714285713,0.005569306930693019,0.001949046359459805,-0.29508196721311475,-0.2583333333333333,0.01080351114112088,0.00540540540540535,0.004807692307692291
2021-03-15,64857,86000,167000,104.42857142857143,80428.57142857143,150142.85714285713,0.00015529357282950684,253000,0.9166666666666667,234285.7142857143,0.009230769230769376,0.0012968366448984359,1.0,0.8764044943820224,-0.023380093520374068,0.008960573476702649,0.00574162679425827
2021-03-16,64934,88000,161000,102.5,80857.14285714286,151000.0,0.00015347587195657653,249000,-0.015810276679841917,232428.57142857142,-0.00792682926829269,0.001187227284641601,0.023255813953488413,-0.0359281437125748,-0.01846785225718195,0.005328596802841812,0.0057088487155090295
2021-03-17,65053,96000,175000,104.14285714285714,81571.42857142857,152714.2857142857,0.00015557771313945423,271000,0.08835341365461846,232857.14285714287,0.0018438844499077955,0.001832630055133011,0.09090909090909083,0.08695652173913038,0.016027874564459976,0.00883392226148394,0.011352885525070855
2021-03-18,65157,86000,152000,103.92857142857143,80142.85714285714,149428.57142857142,0.00015089763353381969,238000,-0.12177121771217714,228428.57142857142,-0.019018404907975572,0.0015986964475120935,-0.10416666666666663,-0.13142857142857145,-0.002057613168724215,-0.017513134851138257,-0.021515434985968196
2021-03-19,65289,95000,176000,106.64285714285714,81571.42857142857,152428.57142857142,0.0001539651405300102,271000,0.1386554621848739,227857.14285714287,-0.0025015634771731188,0.0020258759611400112,0.10465116279069764,0.1578947368421053,0.026116838487972416,0.017825311942959,0.020076481835564097
2021-03-20,65408,64000,125000,107.85714285714286,83000.0,154000.0,0.00015086759541382833,189000,-0.3025830258302583,229000.0,0.005015673981191071,0.001822665380079247,-0.3263157894736842,-0.2897727272727273,0.011386470194239884,0.017513134851138368,0.010309278350515427
2021-03-21,65505,48000,95000,108.42857142857143,85285.71428571429,154571.42857142858,0.00014484798602221183,143000,-0.24338624338624337,230571.42857142858,0.006862133499688117,0.0014829990215263766,-0.25,-0.24,0.005298013245033095,0.027538726333907082,0.0037105751391466324
2021-03-22,65596,89000,173000,108.21428571428572,84000.0,152714.2857142857,0.0001460158508539422,262000,0.8321678321678321,231857.14285714287,0.005576208178438735,0.001389206930768605,0.8541666666666667,0.8210526315789475,-0.0019762845849802257,-0.015075376884422176,-0.01201478743068396
2021-03-23,65686,93000,173000,108.57142857142857,85142.85714285714,153571.42857142858,0.00014837288473823484,266000,0.01526717557251911,234285.7142857143,0.010474430067775709,0.0013720348801755655,0.04494382022471921,0.0,0.0033003300330032292,0.013605442176870763,0.00561272217025266
2021-03-24,65825,86000,152000,110.85714285714286,87428.57142857143,155857.14285714287,0.00015199623691364295,238000,-0.10526315789473684,229571.42857142858,-0.020121951219512213,0.0021161282465060882,-0.07526881720430112,-0.12138728323699421,0.021052631578947434,0.02684563758389258,0.014883720930232602
2021-03-25,65986,96000,173000,113.35714285714286,88142.85714285714,157714.2857142857,0.0001628644673736801,269000,0.13025210084033612,234000.0,0.019290603609209755,0.002445879225218439,0.11627906976744184,0.13815789473684204,0.022551546391752497,0.008169934640522847,0.01191567369385882
2021-03-26,66113,105000,187000,114.21428571428572,88857.14285714286,158714.2857142857,0.0001615367518204014,292000,0.08550185873605942,237000.0,0.012820512820512775,0.0019246506834782462,0.09375,0.08092485549132955,0.007561436672967936,0.008103727714748654,0.006340579710145011
2021-03-27,66250,80000,129000,114.5,89142.85714285714,157428.57142857142,0.00016471798734052356,209000,-0.2842465753424658,239857.14285714287,0.012055455093429757,0.0020722097015715146,-0.23809523809523814,-0.31016042780748665,0.00250156347717323,0.003215434083601254,-0.008100810081008158
2021-03-28,66392,39000,82000,115.64285714285714,90428.57142857143,157714.2857142857,0.00017317850535891743,121000,-0.42105263157894735,236714.2857142857,-0.01310303752233477,0.0021433962264150175,-0.5125,-0.3643410852713178,0.00998128509045526,0.014423076923076872,0.001814882032667997
2021-03-29,66491,97000,179000,116.71428571428572,94000.0,159857.14285714287,0.00017445890378042783,276000,1.28099173553719,238714.2857142857,0.00844900422450201,0.0014911435112663352,1.4871794871794872,1.1829268292682928,0.009264978381717137,0.03949447077409163,0.013586956521739246
